PDBID_chain
1TUP_C
3EXJ_A
2WTT_A
4E5A_A
1T4W_A
1QM0_A
1DX0_A
1AG2_A
1B10_A
1UW3_A
4V4Q_BC
4V4I_D
1JJ2_B
4V88_L2
6Z6L_E
1A3N_A
1BZ0_A
1GCW_A
1OUT_A
1MBD_A
2OCJ_A
4NFB_A
1QG3_A
6LDP_A
5FHX_A
2MM1_A
101M_A
1ITH_A
1E8W_A
2X0V_A
4G82_A
1U8L_A
2H65_A
3V5D_A
1ZSD_A
2VAA_A
1SM1_A
1L2M_A
1JJ2_0
1NKW_A
1H92_A
4YBB_LA
6Q97_A
5AJ0_2
1GCN_A
3CHY_A
1LYZ_A
2YVB_A
1TIM_A
1C2B_A
